역명,경도,위도
응암,126.915577,37.598605
역촌,126.922744,37.606021
독바위,126.933031,37.618456
구산,126.91727,37.611377
새절(신사),126.913629,37.591148
증산(명지대앞),126.909645,37.583876
디지털미디어시티,126.900984,37.576646
월드컵경기장(성산),126.899298,37.569532
마포구청,126.903343,37.563515
망원,126.910052,37.556094
상수,126.922852,37.547716
광흥창(서강),126.931993,37.547456
대흥(서강대앞),126.942069,37.547771
공덕,126.951592,37.544018
효창공원앞,126.961351,37.539261
삼각지,126.97311,37.534777
녹사평(용산구청),126.986695,37.534675
이태원,126.994302,37.534488
한강진,127.001725,37.539631
버티고개,127.007055,37.548013
약수,127.010655,37.55434
청구,127.013828,37.560245
신당,127.01782,37.565972
동묘앞,127.016429,37.572627
창신,127.015241,37.579661
보문,127.019381,37.585286
안암(고대병원앞),127.029005,37.586272
고려대(종암),127.036296,37.590508
월곡(동덕여대),127.041518,37.601948
상월곡(한국과학기술연구원),127.048491,37.606377
돌곶이,127.056431,37.610537
태릉입구,127.07512,37.617983
화랑대(서울여대입구),127.084689,37.620064
봉화산(서울의료원),127.091401,37.617283
