name,stars,numReviews,cuisine,priceRange,Url
n/naka,5,173,"Japanese, Sushi",High,https://www.tripadvisor.com/Restaurant_Review-g32655-d3701882-Reviews-N_naka-Los_Angeles_California.html
Raffaello Ristorante,4.5,278,Italian,Medium,https://www.tripadvisor.com/Restaurant_Review-g32655-d446648-Reviews-Raffaello_Ristorante-Los_Angeles_California.html
Providence,4.5,796,Seafood,High,https://www.tripadvisor.com/Restaurant_Review-g32655-d594024-Reviews-Providence-Los_Angeles_California.html
Brent's Deli Northridge,4.5,1556,"American, Deli",Medium,https://www.tripadvisor.com/Restaurant_Review-g32655-d348825-Reviews-Brent_s_Deli_Northridge-Los_Angeles_California.html
Langer's,4.5,836,"American, Deli",Medium,https://www.tripadvisor.com/Restaurant_Review-g32655-d364756-Reviews-Langer_s-Los_Angeles_California.html
Cafe Gratitude Venice,4.5,486,"American, Cafe",Medium,https://www.tripadvisor.com/Restaurant_Review-g32655-d3458135-Reviews-Cafe_Gratitude_Venice-Los_Angeles_California.html
Maccheroni Republic,4.5,359,"Italian, European",Medium,https://www.tripadvisor.com/Restaurant_Review-g32655-d3848093-Reviews-Maccheroni_Republic-Los_Angeles_California.html
Sushi Gen,4.5,482,"Japanese, Sushi",Medium,https://www.tripadvisor.com/Restaurant_Review-g32655-d364705-Reviews-Sushi_Gen-Los_Angeles_California.html
Toast Bakery Cafe,4.5,402,"American, Cafe",Medium,https://www.tripadvisor.com/Restaurant_Review-g32655-d350178-Reviews-Toast_Bakery_Cafe-Los_Angeles_California.html
The Luggage Room Pizzeria,4.5,248,"Italian, Pizza",Medium,https://www.tripadvisor.com/Restaurant_Review-g32859-d1988092-Reviews-The_Luggage_Room_Pizzeria-Pasadena_California.html
Angelini Osteria,4.5,512,Italian,Medium,https://www.tripadvisor.com/Restaurant_Review-g32655-d350450-Reviews-Angelini_Osteria-Los_Angeles_California.html
Magic Castle,4.5,402,American,High,https://www.tripadvisor.com/Restaurant_Review-g32655-d941518-Reviews-Magic_Castle-Los_Angeles_California.html
Pampas Grill,4.5,324,"Brazilian, Barbecue",Cheap,https://www.tripadvisor.com/Restaurant_Review-g32655-d2146116-Reviews-Pampas_Grill-Los_Angeles_California.html
Russell's,4.5,425,American,Medium,https://www.tripadvisor.com/Restaurant_Review-g32859-d585586-Reviews-Russell_s-Pasadena_California.html
Craft Los Angeles,4.5,510,American,High,https://www.tripadvisor.com/Restaurant_Review-g32655-d875880-Reviews-Craft_Los_Angeles-Los_Angeles_California.html
Lemonade,4.5,421,American,Medium,https://www.tripadvisor.com/Restaurant_Review-g32655-d2435121-Reviews-Lemonade-Los_Angeles_California.html
Raffi's Place Restaurant,4.5,438,"Mediterranean, Middle Eastern",Medium,https://www.tripadvisor.com/Restaurant_Review-g32431-d376306-Reviews-Raffi_s_Place_Restaurant-Glendale_California.html
Din Tai Fung,4.5,489,"Chinese, Asian",Medium,https://www.tripadvisor.com/Restaurant_Review-g32431-d5971579-Reviews-Din_Tai_Fung-Glendale_California.html
SUGARFISH by sushi nozawa,4.5,418,"Japanese, Seafood",Medium,https://www.tripadvisor.com/Restaurant_Review-g32655-d1907184-Reviews-SUGARFISH_by_sushi_nozawa-Los_Angeles_California.html
Parkway Grill,4.5,342,"American, Contemporary",High,https://www.tripadvisor.com/Restaurant_Review-g32859-d343318-Reviews-Parkway_Grill-Pasadena_California.html
Nickel Diner,4.5,295,"American, Diner",Medium,https://www.tripadvisor.com/Restaurant_Review-g32655-d1591286-Reviews-Nickel_Diner-Los_Angeles_California.html
The Griddle Cafe,4.5,1588,"American, Cafe",Medium,https://www.tripadvisor.com/Restaurant_Review-g32655-d350455-Reviews-The_Griddle_Cafe-Los_Angeles_California.html
Republique,4.5,593,"French, American",Medium,https://www.tripadvisor.com/Restaurant_Review-g32655-d5603875-Reviews-Republique-Los_Angeles_California.html
Foxy's Restaurant,4.5,447,American,Medium,https://www.tripadvisor.com/Restaurant_Review-g32431-d371841-Reviews-Foxy_s_Restaurant-Glendale_California.html
Truxton's American Bistro,4.5,268,"American, Bar",Medium,https://www.tripadvisor.com/Restaurant_Review-g32655-d626563-Reviews-Truxton_s_American_Bistro-Los_Angeles_California.html
Houston's,4.5,662,"American, Sushi",Medium,https://www.tripadvisor.com/Restaurant_Review-g32859-d343289-Reviews-Houston_s-Pasadena_California.html
Aliki's Greek Taverna,4.5,442,"Mediterranean, Greek",Medium,https://www.tripadvisor.com/Restaurant_Review-g32655-d615490-Reviews-Aliki_s_Greek_Taverna-Los_Angeles_California.html
Gale's Italian Restaurant and Bar,4.5,405,Italian,Medium,https://www.tripadvisor.com/Restaurant_Review-g32859-d359037-Reviews-Gale_s_Italian_Restaurant_and_Bar-Pasadena_California.html
Alcove Cafe & Bakery,4.5,354,"American, Cafe",Medium,https://www.tripadvisor.com/Restaurant_Review-g32655-d577279-Reviews-Alcove_Cafe_Bakery-Los_Angeles_California.html
Musso & Frank Grill,4.5,1269,"Steakhouse, American",High,https://www.tripadvisor.com/Restaurant_Review-g32655-d514194-Reviews-Musso_Frank_Grill-Los_Angeles_California.html
La Grande Orange Pasadena,4.5,620,"American, Bar",Medium,https://www.tripadvisor.com/Restaurant_Review-g32859-d1239578-Reviews-La_Grande_Orange_Pasadena-Pasadena_California.html
The Boiling Crab,4.5,267,"American, Seafood",Medium,https://www.tripadvisor.com/Restaurant_Review-g32655-d2185973-Reviews-The_Boiling_Crab-Los_Angeles_California.html
Off Vine,4.5,308,"American, Contemporary",Medium,https://www.tripadvisor.com/Restaurant_Review-g32655-d364726-Reviews-Off_Vine-Los_Angeles_California.html
Water Grill,4.5,887,"American, Seafood",High,https://www.tripadvisor.com/Restaurant_Review-g32655-d364702-Reviews-Water_Grill-Los_Angeles_California.html
Gus's Barbecue - South Pasadena,4.5,288,"American, Barbecue",Medium,https://www.tripadvisor.com/Restaurant_Review-g33115-d368907-Reviews-Gus_s_Barbecue_South_Pasadena-South_Pasadena_California.html
Getty Center Restaurant,4.5,663,American,High,https://www.tripadvisor.com/Restaurant_Review-g32655-d350227-Reviews-Getty_Center_Restaurant-Los_Angeles_California.html
Cassell's Hamburgers,4.5,242,American,Medium,https://www.tripadvisor.com/Restaurant_Review-g32655-d7387771-Reviews-Cassell_s_Hamburgers-Los_Angeles_California.html
